-4.9	-0.1003889423
-4.57	-0.05491499904
-4.24	-0.132382618
-3.91	0.5368157657
-3.58	0.2493279592
-3.25	0.5362507279
-2.92	-2.325867949
-2.59	-0.8901754628
-2.26	-1.673412007
-1.93	7.673742608
-1.6	2.310582858
-1.27	3.654028177
-0.94	-17.17630584
-0.61	-3.732048305
-0.28	-4.526689375
0.05	19.47008531
0.38	2.338255656
0.71	1.282495323
1.04	0.9784382009
1.37	0.8893135074
1.7	0.9086387329
2.03	1.013056449
2.36	1.210650964
2.69	1.532461269
3.02	2.037414596
3.35	2.82717795
3.68	4.074676638
4.01	6.07592854
4.34	9.344087354
4.67	14.78169116
